business_name,tier,geography,invoice_count_90d,invoice_value_90d,estimate_count_90d,estimate_value_90d,order_count_90d,order_value_90d,receivable_amount,overdue_amount,buyer_app_enabled,has_active_price_list,has_active_cohort,health_reason,last_invoice_at,last_buyer_app_activity_at
SSV INFO SYSTEMS,,,14,1513775.00,5,1294055.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-06 18:30:00+00,
PANKAJ JUGRAJ BAFNA JAIN,,,9,1344895.00,0,0.00,0,0.00,148920.00,148920.00,False,False,False,overdue,2026-07-15 18:30:00+00,
SHYAM TECHNOLOGIES,,"{'city': 'Hyderabad', 'state': 'Telangana', 'address': '15-9-397, , MAHA', 'country': 'India', 'pincode': '500012'}",8,1296065.00,3,2594565.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-17 18:30:00+00,
SHARK SECURITY SOLUTIONS LLP,,,6,1219450.00,2,243020.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
BRAHMAS ELECTRONICS WORLD 7702200412 .,,,38,1157610.00,2,66530.00,0,0.00,620150.00,620150.00,False,False,False,overdue,2026-07-20 18:30:00+00,
GENIO SECURITY SOLUTIONS,,,165,1128860.00,0,0.00,0,0.00,489535.00,489535.00,True,False,False,overdue,2026-07-22 18:30:00+00,
SV INFORMATICS,,,11,1050686.00,7,1209416.00,0,0.00,85040.00,85040.00,False,False,False,overdue,2026-06-11 18:30:00+00,
Sri Sai Security Solutions 9392344345,,,38,1016030.00,27,1553090.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
Ravi Power Solutions,,,111,978293.00,22,608531.00,0,0.00,3100.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
CAMLINE SOLUTIONS INDIA PRIVATE LIMITED,,"{'city': 'Pune', 'state': 'Maharashtra', 'address': 'Office No 04, Lagad Mala, Sinhgad Road', 'country': 'India', 'pincode': '411041'}",13,935790.00,10,1458390.00,2,411170.00,0.00,0.00,False,True,False,no_app_access,2026-07-14 18:30:00+00,
DATTA SAI TRUE WHEELS,,,55,901544.00,6,795300.00,0,0.00,173883.00,46920.00,False,False,False,overdue,2026-07-21 18:30:00+00,
MAVERICK DOUX TECHNOLOGIES,,,10,849240.00,8,265840.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-16 18:30:00+00,
MOHAN SINGH RAWAT,,"{'city': 'East Delhi', 'state': 'Delhi', 'address': 'D-7/54, , DAYAL PUR', 'country': 'India', 'pincode': '110094'}",4,798777.00,4,864279.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-13 18:30:00+00,
JUS JUMPIN KIDS ENTERTAINMENT PRIVATE LIMITED,,,4,788501.00,15,3801843.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-16 18:30:00+00,
SDV ELV SOLUTIONS LLP,,,12,748384.00,2,911100.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
GURU'S ELECTRONICS,,,21,734170.00,27,878140.00,0,0.00,345460.00,98230.00,True,False,False,overdue,2026-07-21 18:30:00+00,
SKHL ENTERPRISE,,,38,713926.00,36,1097501.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
APR TECHNOLOGIES,,,99,712088.00,69,593864.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
MISSILE INFO TECH,,,73,705392.00,5,557060.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
K M R EDUCATIONAL SOCIETY,,,1,700000.00,6,4227611.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-06-04 18:30:00+00,
MP TECHNOLOGIES,,,31,645125.00,8,1469649.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
VISION ENTERPRISES,,,32,622246.00,7,473480.00,0,0.00,360625.00,360625.00,True,False,False,overdue,2026-07-18 18:30:00+00,
OM SRI DIGITAL TECH SOLUTIONS,,,58,587378.00,16,348052.00,0,0.00,1000.00,1000.00,True,False,False,overdue,2026-07-16 18:30:00+00,
ROHIT KUMAR LINGA,,,1,539830.00,3,1724380.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-02 18:30:00+00,
HAVISA TECHNOLOGIES,,,62,533113.00,12,440129.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
HARI HARA  ELECTRICAL,,,77,490140.00,31,342393.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
TEJA ABODES,,,3,483540.00,8,3128732.00,0,0.00,21894.00,21894.00,False,False,False,overdue,2026-07-19 18:30:00+00,
SMART HOME ELECTRONICS & SECURITY SYSTEMS,,,19,465140.00,0,0.00,0,0.00,319890.00,319890.00,False,False,False,overdue,2026-07-19 18:30:00+00,
YOUR SECURITY SOLUTIONS,,,118,430373.00,7,240940.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
CORLIRA HOME AUTOMATION,,,52,421743.00,47,398282.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
BATCHU SEETHA,,,27,421524.00,16,374474.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-16 18:30:00+00,
HI-TECH SYSTEMS,,,36,389172.00,19,300972.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
AMARENDHAR 9849169048,,,35,381864.00,4,343780.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
INQMI PRIVATE LIMITED,,,1,381430.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-04-26 18:30:00+00,
MODERN NETWORKS 9346199444,,,2,369651.00,1,369650.00,0,0.00,1.00,1.00,False,False,False,overdue,2026-06-27 18:30:00+00,
Dheeran Technologies / Pushpa Enterprises,,,32,368830.00,27,668415.00,0,0.00,50.00,50.00,True,False,False,overdue,2026-07-22 18:30:00+00,
S M SOLUTIONS,,,69,358967.00,23,353585.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
KALYAN CCTV 9347504400,,,34,357034.00,16,733486.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
TECHCARE SOLUTIONS,,,22,347160.00,3,176820.00,0,0.00,267741.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
MARVEL SECURITY AND FACILITY SERVICE 9010601212,,,72,336593.00,11,141740.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
SRUTHI SECURITY SOLUTIONS,,,17,333832.00,12,609702.00,0,0.00,33730.00,33730.00,False,False,False,overdue,2026-06-30 18:30:00+00,
TRUEVIEW SECURITY SOLUTIONS,,,41,328597.00,3,82920.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-21 18:30:00+00,
TRINETRA SECURITY SOLUTIONS  CCTV,,,45,326420.00,2,33670.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-21 18:30:00+00,
GUARDIANS SALES CORPORATION,,,61,325123.00,28,737581.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
K S S CCTV,,,52,314390.00,7,379620.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
SNEHA SECURITY SERVICES,,,56,312711.00,5,75288.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
MONIKA OVERSEAS,,,1,307500.00,0,0.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-15 18:30:00+00,
Quantum Security Systems,,,43,305940.00,9,161625.00,0,0.00,11041.00,11041.00,True,False,False,overdue,2026-07-20 18:30:00+00,
SHAROOK CCTV TECH,,,20,300405.00,10,625406.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
TNT ENTERPRISES 9885036396,,,61,297684.00,6,124130.00,0,0.00,73320.00,0.00,True,False,False,healthy,2026-07-20 18:30:00+00,
ROTO POWER ENGINEERING,,,41,291038.00,11,215613.00,0,0.00,0.00,0.00,False,False,False,no_app_access,2026-07-22 18:30:00+00,
SRI VENKATESHWARA SECURITY SOLUTIONS,,,38,288055.00,16,261530.00,0,0.00,0.00,0.00,True,False,False,healthy,2026-07-22 18:30:00+00,
