day,invoice_count,invoice_value,estimate_count,estimate_value,order_count,order_value,app_invoice_count,app_invoice_value,app_estimate_count,app_estimate_value,app_order_count
2026-04-01,149,1686960.00,44,1750368.00,0,0.00,0,0.00,0,0.00,0
2026-04-02,157,792025.00,51,3598283.00,0,0.00,0,0.00,0,0.00,0
2026-04-03,143,1088019.00,43,2412001.00,0,0.00,0,0.00,0,0.00,0
2026-04-04,155,707901.00,49,2880225.00,0,0.00,0,0.00,0,0.00,0
2026-04-05,75,333962.00,12,465745.00,0,0.00,0,0.00,0,0.00,0
2026-04-06,160,761599.00,46,2530800.00,0,0.00,0,0.00,0,0.00,0
2026-04-07,141,600229.00,49,2465839.00,0,0.00,0,0.00,0,0.00,0
2026-04-08,144,734534.00,59,1662535.00,0,0.00,0,0.00,0,0.00,0
2026-04-09,162,1537999.00,62,3321208.00,0,0.00,0,0.00,0,0.00,0
2026-04-10,165,1198308.00,54,3183261.00,0,0.00,0,0.00,0,0.00,0
2026-04-11,154,1042289.00,53,1927494.00,0,0.00,0,0.00,0,0.00,0
2026-04-12,73,353112.00,11,270575.00,0,0.00,0,0.00,0,0.00,0
2026-04-13,139,864712.00,55,2781326.00,0,0.00,0,0.00,0,0.00,0
2026-04-14,121,660363.00,66,1786633.00,0,0.00,0,0.00,0,0.00,0
2026-04-15,150,800695.00,63,2700871.00,0,0.00,0,0.00,0,0.00,0
2026-04-16,132,660608.00,61,3656911.00,0,0.00,0,0.00,0,0.00,0
2026-04-17,151,1165440.00,47,3309943.00,0,0.00,0,0.00,0,0.00,0
2026-04-18,179,1444430.00,71,2946410.00,0,0.00,0,0.00,0,0.00,0
2026-04-19,75,531171.00,14,334280.00,0,0.00,0,0.00,0,0.00,0
2026-04-20,159,1315450.00,60,1951334.00,0,0.00,0,0.00,0,0.00,0
2026-04-21,136,1036321.00,62,2506695.00,0,0.00,0,0.00,0,0.00,0
2026-04-22,163,729627.00,43,2370605.00,0,0.00,0,0.00,0,0.00,0
2026-04-23,157,917289.00,62,2139402.00,0,0.00,0,0.00,0,0.00,0
2026-04-24,152,1095621.00,56,2344483.00,0,0.00,0,0.00,2,37590.00,0
2026-04-25,165,933740.00,60,4353395.00,0,0.00,0,0.00,0,0.00,0
2026-04-26,69,374112.00,14,282277.00,0,0.00,0,0.00,0,0.00,0
2026-04-27,150,1375864.00,56,2492600.00,0,0.00,2,37590.00,8,235560.00,0
2026-04-28,173,1031583.00,57,1652561.00,0,0.00,2,13380.00,12,61164.00,0
2026-04-29,137,584059.00,42,1628992.00,0,0.00,1,15770.00,6,50452.00,0
2026-04-30,129,877763.00,31,1260587.00,0,0.00,0,0.00,2,7180.00,0
2026-05-01,146,895119.00,41,1917857.00,0,0.00,1,3610.00,9,195660.00,0
2026-05-02,136,967944.00,46,2696030.00,0,0.00,0,0.00,0,0.00,0
2026-05-03,64,375003.00,11,250620.00,0,0.00,0,0.00,1,21380.00,0
2026-05-04,152,905477.00,55,2776706.00,0,0.00,2,17480.00,10,85716.00,0
2026-05-05,148,927403.00,56,5971932.00,0,0.00,3,60160.00,10,193805.00,0
2026-05-06,151,875973.00,46,2999651.00,1,36890.00,0,0.00,2,58368.00,0
2026-05-07,132,791216.00,39,4051424.00,0,0.00,4,58501.00,8,111231.00,0
2026-05-08,135,867809.00,56,4405199.00,0,0.00,2,29850.00,7,127598.00,0
2026-05-09,151,1216359.00,48,1504436.00,1,374280.00,3,23220.00,4,23810.00,0
2026-05-10,67,439257.00,13,235820.00,0,0.00,2,20990.00,6,80370.00,0
2026-05-11,151,815357.00,48,6016800.00,0,0.00,2,12752.00,2,12752.00,0
2026-05-12,129,619424.00,46,2338447.00,0,0.00,4,24586.00,5,134826.00,0
2026-05-13,136,732844.00,50,2088152.00,0,0.00,3,32153.00,4,44053.00,0
2026-05-14,131,676911.00,50,2987581.00,0,0.00,4,36974.00,6,74134.00,0
2026-05-15,162,937665.00,53,4126094.00,0,0.00,2,6120.00,5,54072.00,0
2026-05-16,176,1035126.00,39,4601723.00,0,0.00,5,64447.00,10,110449.00,0
2026-05-17,68,352453.00,12,359725.00,0,0.00,2,32853.00,3,43123.00,0
2026-05-18,175,1207126.00,70,2943592.00,0,0.00,4,21066.00,11,76602.00,0
