internal_sku,name_override,base_selling_price,cost_price,invoice_value_90d,invoice_units_90d,purchasing_buyers_90d,on_hand,available,days_cover,out_of_stock,is_active,is_published,price_complete,no_sale_since
CP-URC-TC24PL3C-L,2.4mp ILLUMAX Bullet Camera CP Plus,1290,1212,3394429.41,3189.000,487,1424.000,1424.000,40.19,False,True,False,True,2026-07-22
RFB-1TB,1TB Hard Disk,4880,4550,3218837.07,762.000,398,406.000,406.000,47.95,False,True,True,True,2026-07-22
CP-UNC-TA41L3C-LQ,4mp IP iLLUMAX Bullet STQC CP Plus,3840,3785,3171821.29,1051.000,157,170.000,170.000,14.56,False,True,False,True,2026-07-21
RFB-8TB,8TB Hard Disk,24900,22000,2773206.86,138.000,32,8.000,8.000,5.22,False,True,True,True,2026-07-15
CP-UNC-TA21L3C-LQ,2mp IP Bullet iLLUMAX STQC CP Plus,3190,3160,2723686.30,1106.000,179,3362.000,3362.000,273.58,False,True,False,True,2026-07-22
RFB-2TB,2TB Hard Disk,7850,11.56,2436087.17,399.000,225,191.000,191.000,43.08,False,True,True,True,2026-07-22
CP-UNC-DA21L3C-LQ,2mp IP iLLUMAX Dome STQC CP Plus,3130,2742,2387362.86,991.000,148,1307.000,1307.000,118.70,False,True,False,True,2026-07-22
CP-UVR-0401E1V-I,4-Ch DVR 2-way talk 2.4mp CP-UVR-0401E1V-I,3400,2690,2177580.41,913.000,316,1845.000,1845.000,181.87,False,True,False,True,2026-07-22
RFB-500GB,500GB Hard Disk,1780,1530,2161189.09,1322.000,456,218.000,218.000,14.84,False,True,True,True,2026-07-22
CP-UNC-DA41L3C-LQ,4mp IP iLLUMAX Dome STQC CP Plus,3780,3725,2131362.83,719.000,107,1014.000,1014.000,126.93,False,True,False,True,2026-07-22
CP-URC-DC24PL3C-L,2.4mp illumax Dome Camera CP Plus,1230,1155,1907195.22,1874.000,397,2777.000,2777.000,133.37,False,True,False,True,2026-07-22
RFB-4TB,4TB Hard Disk,14500,11.56,1682705.34,156.000,103,109.000,109.000,62.88,False,True,True,True,2026-07-22
CP-UVR-0801E1V-I,8-Ch DVR 2-way talk 2.4mp CP-UVR-0801E1V-I,4180,3358,1587483.81,487.000,196,1783.000,1783.000,329.51,False,True,False,True,2026-07-22
CP-UNC-DA21L3C-Q,2mp IP Dome STQC CP Plus IR 30m,2850,2447,1554370.71,715.000,38,324.000,324.000,40.78,False,True,False,True,2026-07-21
S-SSD-PTZ8,4G Solar Linkage camera ( DEFENDER DUO SOLARIS) Secureye,7150,5316,1525474.82,254.000,111,6.000,6.000,2.13,False,True,False,True,2026-06-24
CP-UNR-108F1,8-Ch NVR CP Plus,4980,4161,1485942.88,384.000,206,589.000,589.000,138.05,False,True,False,True,2026-07-22
CP-UNR-4K4322,32-Ch NVR 2-SATA CP Plus,14900,12231,1352035.68,112.000,75,91.000,91.000,73.13,False,True,False,True,2026-07-22
CP-UVR-0801E1-IC,8-Ch DVR - IC 2.4mp CP Plus,4180,3542,1282907.37,412.000,262,53.000,53.000,11.58,False,True,False,True,2026-07-20
CP-UMC-TA24L3-L,2.4mp Dual Light Bullet Camera 2-way Audio CP Plus,1450,1504,1197101.81,1095.000,149,267.000,267.000,21.95,False,True,False,True,2026-07-22
DHMY2144,4G Solar Triple Lens Pan Tilt camera Thinkvision 3mp+3mp,6250,5300,1191611.16,224.000,114,173.000,173.000,69.51,False,True,False,True,2026-07-22
CP-UVR-1601E1-IC,16-Ch DVR 2.4mp CP Plus,6750,5900,1149212.04,217.000,115,11.000,11.000,4.56,False,True,False,True,2026-07-22
CP-FUT-6TSRH-305,CAT6 Cable 305m Eco CP Plus,3380,3180,1107512.53,374.000,159,128.500,128.500,30.92,False,True,False,True,2026-07-22
CP-DNW_ANW-HPU8H2,8 Port PoE Switch CP Plus,1520,1369,998665.15,764.000,317,656.000,656.000,77.28,False,True,False,True,2026-07-22
CP-GPC-TA24PL2C-SE,2.4mp Guard + Audio Bullet Camera CP PLUS,1540,1485,931161.46,718.000,182,52.000,52.000,6.52,False,True,False,True,2026-07-22
