metric,value
current_month_estimate_count,1329
current_month_estimate_value,78052096.00
current_month_order_count,0
current_month_order_value,0.00
current_month_invoice_count,3676
current_month_invoice_value,24723761.00
open_estimate_count,3889
open_estimate_value,306983005.00
open_order_count,5
open_order_value,704970.00
receivable_invoice_count,334
receivable_amount,4069070.00
overdue_invoice_count,283
overdue_amount,3199146.00
purchasing_buyers_90d,2811
active_product_count,340
stocked_product_count,311
out_of_stock_product_count,29
sellable_units,80810.190
recent_invoice_stockout_count,26
enabled_buyer_count,171
active_buyer_count_90d,2
repeat_buyer_count_90d,2
app_estimate_count_90d,358
app_estimate_value_90d,6462470.00
app_order_count_90d,0
app_order_value_90d,0.00
app_invoice_count_90d,180
app_invoice_value_90d,2658599.00
assisted_invoice_count_90d,0
assisted_invoice_value_90d,0.00
active_buyer_count_total,10900
active_product_count_total,340
active_brand_count,15
active_category_count,24
active_location_count_flagged,0
active_warehouse_count,9
active_campaign_count,1
active_cohort_count,1
active_price_list_count,2
buyers_total,10909
buyers_with_invoice_90d,2811
buyers_zero_activity_ever,6952
buyers_app_enabled,171
buyers_app_active_ever,1
buyers_overdue,60
buyers_on_active_price_list,9
buyers_in_active_cohort,10
products_total,451
products_active,340
products_published_to_buyer_app,9
products_out_of_stock,99
products_price_incomplete,0
products_never_sold_90d,113
zoho_sync_jobs_completed,65
zoho_sync_jobs_failed,1
zoho_sync_jobs_cancelled,2
